N;Insert Sort;Merge Sort
1000;1.067667;0.152167
1000;1.076666;0.150250
1000;1.076084;0.151667
1000;1.047000;0.150166
1000;1.041417;0.151792
1000;1.101750;0.149834
1000;1.041458;0.150333
1000;1.087667;0.155292
1000;1.105542;0.155125
1000;1.092958;0.156375
1000;1.071375;0.151333
1000;1.053458;0.153166
1000;1.072959;0.151167
1000;1.047250;0.151750
1000;1.065416;0.149584
1000;1.034542;0.144625
1000;1.056459;0.150083
1000;1.042208;0.144792
1000;1.090208;0.145709
1000;1.030541;0.149625
1000;1.068167;0.149083
1000;1.066792;0.145750
1000;1.083083;0.149625
1000;1.093292;0.149792
1000;1.050333;0.149583
1000;1.121292;0.148375
1000;1.084542;0.152167
1000;1.059000;0.151709
1000;1.066959;0.148459
1000;1.034416;0.150125
1000;1.073334;0.153750
1000;1.097750;0.152292
2000;4.229209;0.329750
2000;4.145458;0.313417
2000;4.369792;0.349125
2000;5.307333;0.343125
2000;6.273375;0.368500
2000;5.407250;0.363750
2000;9.660750;0.711791
2000;6.603416;0.493584
2000;6.135916;0.452875
2000;5.546583;0.335875
2000;4.259417;0.335167
2000;4.441625;0.330208
2000;4.092083;0.333292
2000;3.985292;0.313084
2000;4.084500;0.318583
2000;4.156291;0.308250
2000;4.026708;0.311167
2000;4.034041;0.307250
2000;4.169125;0.333500
2000;4.026000;0.310875
2000;3.953083;0.306708
2000;3.946833;0.324708
2000;4.215666;0.347959
2000;4.131666;0.324500
2000;4.035083;0.312041
2000;4.078708;0.324208
2000;4.071000;0.306541
2000;4.017084;0.308459
2000;3.925917;0.305875
2000;3.971458;0.312084
2000;4.227333;0.329875
2000;4.102459;0.311541
2000;3.917167;0.308041
2000;4.229125;0.307625
2000;4.142542;0.316334
2000;4.025292;0.306417
2000;4.047167;0.309750
2000;4.262667;0.327041
2000;4.061791;0.308958
2000;3.995083;0.307083
2000;4.021958;0.353541
2000;4.140666;0.305334
2000;4.124250;0.310208
2000;4.011583;0.321167
2000;4.012000;0.317417
2000;4.165750;0.310417
2000;4.061250;0.315750
2000;4.049417;0.326333
2000;4.308917;0.330458
2000;4.172208;0.308708
5000;24.868750;0.883042
5000;24.954833;0.857333
5000;24.947917;0.916167
5000;24.569292;0.856167
5000;33.708375;1.046375
5000;27.149042;0.883666
5000;24.520667;0.854792
5000;25.148625;0.862292
5000;24.960542;0.889417
5000;25.102292;0.858500
5000;25.071458;0.889291
5000;24.809375;0.871333
5000;25.007667;0.861208
5000;24.485500;0.854084
5000;25.299542;0.870250
5000;25.002166;0.859833
5000;24.968750;0.884000
5000;24.847667;0.913667
5000;25.168125;0.857167
5000;25.096125;0.877208
5000;24.826958;0.867583
5000;25.272917;0.862250
5000;25.422000;0.863375
5000;25.199750;0.858708
5000;25.148292;0.881500
5000;24.703458;0.890500
5000;24.772500;0.858334
5000;25.291166;0.856459
5000;24.931250;0.855125
5000;24.691459;0.861750
5000;24.796667;0.869167
5000;25.041291;0.919666
5000;25.036625;0.854125
5000;25.080250;0.856333
5000;24.710667;0.874333
5000;24.637791;0.857542
5000;24.563708;0.854375
5000;24.653000;0.854916
5000;24.450291;0.856000
5000;24.959834;0.853875
5000;24.225375;0.853791
5000;24.708542;0.850833
5000;24.532792;0.853667
5000;25.296958;0.977583
5000;24.899292;0.852291
5000;24.974792;0.856000
5000;24.849000;0.851167
5000;24.961916;0.865083
5000;24.752792;0.858417
5000;24.894458;0.854041
7000;48.688083;1.291042
7000;49.207666;1.285584
7000;48.516708;1.266166
7000;48.769292;1.245125
7000;48.046083;1.258959
7000;48.271542;1.236541
7000;48.429250;1.288875
7000;48.102458;1.269584
7000;48.709750;1.249084
7000;47.871625;1.237542
7000;48.939542;1.242625
7000;49.095208;1.278083
7000;47.660166;1.282458
7000;47.825209;1.259125
7000;48.722000;1.254500
7000;49.117083;1.477083
7000;55.384291;1.251416
7000;49.102417;1.251625
7000;48.962417;1.266333
7000;49.518875;1.291625
7000;66.713333;1.305959
7000;48.803792;1.280250
7000;48.936834;1.252542
7000;49.713417;1.250625
7000;48.709917;1.257167
7000;49.487667;1.263000
7000;69.809166;2.009750
7000;56.766125;1.279208
7000;49.818000;1.246750
7000;49.493125;1.249041
7000;48.600000;1.265875
7000;48.633083;1.275750
7000;48.882875;1.252000
7000;48.334792;1.298375
7000;49.719833;1.248375
7000;49.767792;1.326209
7000;53.387750;1.351125
7000;51.495541;1.335542
7000;50.113917;1.304333
7000;49.796958;1.258917
7000;48.636542;1.254250
7000;50.564125;1.253958
7000;48.938708;1.253958
7000;48.471292;1.255083
7000;48.442792;1.256791
7000;49.494625;1.250958
7000;48.216667;1.251375
7000;48.892250;1.268250
7000;49.001166;1.252667
7000;48.391291;1.245291
10000;101.522875;1.922875
10000;99.291666;1.896250
10000;99.351459;1.846042
10000;99.146791;1.898917
10000;98.926625;1.913708
10000;100.569167;1.847750
10000;99.350292;1.861166
10000;99.374167;1.849167
10000;99.994459;1.846542
10000;97.448916;1.876250
10000;97.877458;1.866291
10000;99.391291;1.874084
10000;98.833208;1.846959
10000;98.187333;1.853417
10000;130.203458;1.846667
10000;99.511167;1.888958
10000;98.643166;1.845209
10000;99.697291;1.851541
10000;99.806084;1.936291
10000;99.007417;1.862500
10000;100.086500;1.869000
10000;98.222667;1.858084
10000;98.770958;1.927209
10000;100.403750;1.863667
10000;98.271917;1.854625
10000;98.365708;1.843250
10000;99.351250;1.846583
10000;98.232167;1.856583
10000;98.144292;1.850709
10000;98.074792;1.849459
10000;98.213917;1.850750
10000;98.739250;1.843709
10000;97.314875;1.851500
10000;98.214041;1.858500
10000;98.500792;1.837791
10000;98.717583;1.863000
10000;98.569333;1.869833
10000;99.025375;1.843792
10000;97.779833;1.869333
10000;98.539708;1.855709
10000;100.060542;1.840750
10000;98.518625;1.839833
10000;98.953792;1.851584
10000;99.373250;1.867791
10000;98.513625;1.848667
10000;97.101792;1.843250
10000;98.494709;1.844083
10000;99.005875;1.865125
10000;98.531000;1.851625
10000;97.943834;1.863208
15000;222.229292;2.891834
15000;222.404083;2.955417
15000;227.746417;2.973292
15000;224.951709;2.941250
15000;220.795750;2.891125
15000;218.873709;2.899000
15000;223.901750;2.893542
15000;219.553792;2.892750
15000;224.412000;2.902292
15000;221.649875;2.890625
15000;221.359375;2.889417
15000;220.927625;2.907250
15000;222.128917;2.886667
15000;219.662916;2.905625
15000;220.871833;2.887792
15000;220.517500;2.886375
15000;221.418042;2.898000
15000;221.759542;2.886500
15000;222.132042;3.023958
15000;221.125875;2.953875
15000;222.516917;2.940667
15000;223.492833;2.937416
15000;221.924291;2.888000
15000;223.578208;2.889000
15000;220.042833;2.890791
15000;223.532292;2.930833
15000;221.629625;2.879125
15000;223.134417;2.950834
15000;221.059292;2.886417
15000;222.165458;2.932375
15000;220.151792;2.933667
15000;222.513708;2.962792
15000;220.426667;2.898292
15000;223.448416;2.935208
15000;222.405916;2.900209
15000;227.052333;2.885500
15000;221.951041;2.952833
15000;220.614750;2.904041
15000;219.828542;2.899625
15000;223.803917;2.951250
15000;225.622791;2.934833
15000;220.268500;2.893833
15000;220.091834;2.888042
15000;222.946334;2.892208
15000;226.220500;2.959083
15000;227.127375;2.949666
15000;223.689292;2.944292
15000;223.517959;2.917334
15000;220.968334;2.895417
15000;221.377708;3.026417
