N;M;Insert Sort;Insert Sort with Binary Search
80;2;0.075791;0.033125
80;2;0.082375;0.032917
80;2;0.089458;0.033208
80;2;0.080459;0.032958
80;2;0.085291;0.032500
80;2;0.081166;0.032542
80;2;0.077625;0.032666
80;2;0.091375;0.033458
80;2;0.080667;0.032834
80;5;0.078834;0.032709
80;5;0.082083;0.032459
80;5;0.075875;0.031875
80;5;0.074541;0.031333
80;5;0.085500;0.033292
80;5;0.076709;0.032250
80;5;0.090667;0.033750
80;5;0.075042;0.032500
80;5;0.077209;0.032375
80;5;0.079625;0.032375
80;10;0.087000;0.032584
80;10;0.073709;0.032500
80;10;0.092500;0.033458
80;10;0.085542;0.032875
80;10;0.089250;0.033291
80;10;0.079084;0.032834
80;10;0.077250;0.032334
80;10;0.083208;0.032958
80;10;0.078833;0.032708
80;10;0.072083;0.032375
80;50;0.077167;0.039625
80;50;0.089542;0.041875
80;50;0.082500;0.040708
80;50;0.084209;0.039667
80;50;0.086708;0.040875
80;50;0.087667;0.040750
80;50;0.088625;0.041333
80;50;0.094833;0.041958
80;50;0.082250;0.040084
80;50;0.083750;0.040083
80;100;0.082542;0.060667
80;100;0.087666;0.038416
80;100;0.076000;0.036750
80;100;0.085875;0.038375
80;100;0.084584;0.038125
80;100;0.081292;0.037666
80;100;0.090500;0.038750
80;100;0.087125;0.038292
80;100;0.087459;0.038833
80;100;0.082875;0.037500
80;200;0.079416;0.040000
80;200;0.087083;0.041542
80;200;0.088708;0.042083
80;200;0.096125;0.042708
80;200;0.096500;0.042584
80;200;0.086708;0.040875
80;200;0.094625;0.043084
80;200;0.091458;0.042000
80;200;0.082917;0.040667
80;200;0.085916;0.043375
80;300;0.099417;0.049917
80;300;0.094125;0.048667
80;300;0.102333;0.050000
80;300;0.085333;0.046416
80;300;0.107708;0.051875
80;300;0.084833;0.046417
80;300;0.090208;0.047458
80;300;0.106375;0.051333
80;300;0.089958;0.047583
80;300;0.087500;0.047167
80;500;0.110417;0.056500
80;500;0.102625;0.054791
80;500;0.098334;0.052750
80;500;0.089166;0.050583
80;500;0.102125;0.053708
80;500;0.101667;0.053834
80;500;0.099500;0.052916
80;500;0.100500;0.054125
80;500;0.084417;0.049291
80;500;0.096500;0.053167
80;1000;0.122542;0.065791
80;1000;0.125125;0.067291
80;1000;0.122750;0.067666
80;1000;0.119209;0.065792
80;1000;0.107584;0.061625
80;1000;0.100125;0.059709
80;1000;0.112375;0.063417
80;1000;0.102792;0.063208
80;1000;0.119125;0.065334
80;1000;0.119542;0.065917
100;1;0.110541;0.040917
100;1;0.106667;0.039708
100;1;0.111833;0.041292
100;1;0.109042;0.040750
100;1;0.110458;0.040541
100;1;0.100000;0.040167
100;1;0.101000;0.039958
100;1;0.116375;0.040708
100;1;0.115708;0.041333
100;1;0.087917;0.039542
100;2;0.125625;0.041958
100;2;0.125750;0.042833
100;2;0.116125;0.041584
100;2;0.113166;0.041875
100;2;0.118208;0.041375
100;2;0.099916;0.040375
100;2;0.111417;0.041542
100;2;0.107625;0.040834
100;2;0.118000;0.042167
100;2;0.115541;0.041625
100;5;0.122750;0.042583
100;5;0.102125;0.040792
100;5;0.116583;0.041666
100;5;0.113916;0.041583
100;5;0.107958;0.040500
100;5;0.125291;0.042375
